Name,Code,Easting,Northing,Elevation,Description,Longitude,Latitude,Ellipsoidal height,Origin,Easting RMS,Northing RMS,Elevation RMS,Lateral RMS,Antenna height,Antenna height units,Solution status,Correction type,Averaging start,Averaging end,Samples,PDOP,GDOP,Base easting,Base northing,Base elevation,Base longitude,Base latitude,Base ellipsoidal height,Baseline,Mount point,CS name,GPS Satellites,GLONASS Satellites,Galileo Satellites,BeiDou Satellites,QZSS Satellites
30,,454940.836,4399924.116,2416.061,,-105.52594458,39.74803230,2416.061,Global,0.010,0.010,0.012,0.014,2.134,m,FIX,RTK,2026-02-20 09:53:06.8 UTC-07:00,2026-02-20 09:53:06.8 UTC-07:00,1,1.1,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,15.472,,WGS 84 / UTM zone 13N,9,7,9,5,0
32,,454942.795,4399924.064,2415.665,,-105.52592172,39.74803193,2415.665,Global,0.010,0.010,0.011,0.014,2.134,m,FIX,RTK,2026-02-20 09:56:42.4 UTC-07:00,2026-02-20 09:56:42.4 UTC-07:00,1,1.0,1.2,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,17.331,,WGS 84 / UTM zone 13N,9,7,9,5,0
34,,454944.760,4399924.015,2415.342,,-105.52589879,39.74803159,2415.342,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 09:57:25.2 UTC-07:00,2026-02-20 09:57:25.2 UTC-07:00,1,1.0,1.2,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,19.201,,WGS 84 / UTM zone 13N,9,7,9,5,0
36,,454946.710,4399923.903,2415.022,,-105.52587602,39.74803069,2415.022,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 09:58:13.2 UTC-07:00,2026-02-20 09:58:13.2 UTC-07:00,1,1.1,1.2,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,21.097,,WGS 84 / UTM zone 13N,9,7,9,5,0
38,,454948.680,4399923.782,2414.685,,-105.52585301,39.74802970,2414.685,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 09:58:45.6 UTC-07:00,2026-02-20 09:58:45.6 UTC-07:00,1,1.1,1.2,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,23.035,,WGS 84 / UTM zone 13N,9,7,9,5,0
40,,454950.647,4399923.695,2414.384,,-105.52583005,39.74802902,2414.384,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:00:38.8 UTC-07:00,2026-02-20 10:00:38.8 UTC-07:00,1,1.1,1.2,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,24.960,,WGS 84 / UTM zone 13N,9,7,9,5,0
42,,454952.624,4399923.567,2414.068,,-105.52580696,39.74802797,2414.068,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:01:08.2 UTC-07:00,2026-02-20 10:01:08.2 UTC-07:00,1,1.1,1.2,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,26.919,,WGS 84 / UTM zone 13N,9,7,9,5,0
44,,454954.594,4399923.473,2413.734,,-105.52578396,39.74802723,2413.734,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:01:57.4 UTC-07:00,2026-02-20 10:01:57.4 UTC-07:00,1,1.1,1.2,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,28.875,,WGS 84 / UTM zone 13N,9,7,9,5,0
46,,454956.555,4399923.374,2413.392,,-105.52576106,39.74802644,2413.392,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:03:03.6 UTC-07:00,2026-02-20 10:03:03.6 UTC-07:00,1,1.1,1.2,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,30.831,,WGS 84 / UTM zone 13N,9,7,9,5,0
48,,454958.542,4399923.348,2413.051,,-105.52573788,39.74802631,2413.051,Global,0.010,0.010,0.011,0.014,2.134,m,FIX,RTK,2026-02-20 10:05:20.8 UTC-07:00,2026-02-20 10:05:20.8 UTC-07:00,1,1.1,1.2,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,32.801,,WGS 84 / UTM zone 13N,9,7,9,5,0
50,,454960.481,4399923.231,2412.673,,-105.52571523,39.74802536,2412.673,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:06:03.8 UTC-07:00,2026-02-20 10:06:03.8 UTC-07:00,1,1.1,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,34.758,,WGS 84 / UTM zone 13N,9,7,9,5,0
52,,454962.475,4399923.173,2412.369,,-105.52569196,39.74802494,2412.369,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:07:48.4 UTC-07:00,2026-02-20 10:07:48.4 UTC-07:00,1,1.1,1.2,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,36.741,,WGS 84 / UTM zone 13N,9,7,9,5,0
54,,454964.431,4399923.009,2412.095,,-105.52566912,39.74802357,2412.095,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:08:28.2 UTC-07:00,2026-02-20 10:08:28.2 UTC-07:00,1,1.1,1.2,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,38.703,,WGS 84 / UTM zone 13N,9,7,9,5,0
56,,454966.380,4399922.944,2411.812,,-105.52564636,39.74802308,2411.812,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:09:19.2 UTC-07:00,2026-02-20 10:09:19.2 UTC-07:00,1,1.1,1.2,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,40.646,,WGS 84 / UTM zone 13N,9,7,9,5,0
58,,454968.374,4399922.865,2411.477,,-105.52562309,39.74802248,2411.477,Global,0.010,0.010,0.011,0.014,2.134,m,FIX,RTK,2026-02-20 10:09:57.2 UTC-07:00,2026-02-20 10:09:57.2 UTC-07:00,1,1.1,1.2,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,42.648,,WGS 84 / UTM zone 13N,9,7,9,5,0
60,,454970.366,4399922.759,2411.241,,-105.52559982,39.74802163,2411.241,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:10:52.2 UTC-07:00,2026-02-20 10:10:52.2 UTC-07:00,1,1.1,1.2,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,44.633,,WGS 84 / UTM zone 13N,9,7,9,5,0
62,,454972.341,4399922.634,2411.044,,-105.52557677,39.74802061,2411.044,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:11:18.2 UTC-07:00,2026-02-20 10:11:18.2 UTC-07:00,1,1.1,1.2,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,46.598,,WGS 84 / UTM zone 13N,9,7,9,5,0
64,,454974.350,4399922.552,2410.827,,-105.52555331,39.74801998,2410.827,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:12:14.4 UTC-07:00,2026-02-20 10:12:14.4 UTC-07:00,1,1.1,1.2,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,48.596,,WGS 84 / UTM zone 13N,9,7,9,5,0
66,,454976.293,4399922.457,2410.566,,-105.52553063,39.74801922,2410.566,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:13:52.8 UTC-07:00,2026-02-20 10:13:52.8 UTC-07:00,1,1.1,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,50.543,,WGS 84 / UTM zone 13N,9,7,9,5,0
68,,454978.261,4399922.332,2410.296,,-105.52550765,39.74801820,2410.296,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:14:20.0 UTC-07:00,2026-02-20 10:14:20.0 UTC-07:00,1,1.1,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,52.522,,WGS 84 / UTM zone 13N,9,7,9,5,0
70,,454980.224,4399922.234,2410.015,,-105.52548473,39.74801742,2410.015,Global,0.010,0.010,0.010,0.014,2.134,m,FIX,RTK,2026-02-20 10:14:54.2 UTC-07:00,2026-02-20 10:14:54.2 UTC-07:00,1,1.1,1.3,454927.493,4399930.045,2423.281,-105.52610073,39.74808500,2423.281,54.495,,WGS 84 / UTM zone 13N,9,7,9,5,0
